fen	score_cp	wdl	decisive	mode	score_source
r2m3r/2snnsk1/1ppppppp/8/p3P2P/PPPP1PP1/1KSNNS2/R3M2R w - - 1 9	1	0.5	0	normal	engine_search
r2m3r/2snnsk1/1ppppppp/7P/p3P3/PPPP1PP1/1KSNNS2/R3M2R b - - 0 9	1	0.5	0	normal	engine_search
r2m3r/2snnsk1/1ppppppp/7P/4P3/PmPP1PP1/1KSNNS2/R3M2R w - - 0 10	0	0.5	0	normal	engine_search
r2m3r/2snnsk1/1ppppppp/7P/4P3/PNPP1PP1/1KS1NS2/R3M2R b - - 0 10	0	0.5	0	normal	engine_search
r2m3r/2snnsk1/1ppppp1p/6pP/4P3/PNPP1PP1/1KS1NS2/R3M2R w - - 0 11	-1	0.5	0	normal	engine_search
r2m3r/2snnsk1/1ppppp1p/6pP/4P3/PNPP1PP1/1KS1NS2/1R2M2R b - - 1 11	-3	0.5	0	normal	engine_search
r2m3r/2snnsk1/1pp1pp1p/3p2pP/4P3/PNPP1PP1/1KS1NS2/1R2M2R w - - 0 12	-6	0.5	0	normal	engine_search
r2m3r/2snnsk1/1pp1pp1p/3p2pP/4PP2/PNPP2P1/1KS1NS2/1R2M2R b - - 0 12	-5	0.5	0	normal	engine_search
r2m3r/3nnsk1/1ppspp1p/3p2pP/4PP2/PNPP2P1/1KS1NS2/1R2M2R w - - 1 13	-4	0.5	0	normal	engine_search
r2m3r/3nnsk1/1ppspp1p/3p2pP/4PP2/PNPPS1P1/1KS1N3/1R2M2R b - - 2 13	-7	0.5	0	normal	engine_search
r6r/2mnnsk1/1ppspp1p/3p2pP/4PP2/PNPPS1P1/1KS1N3/1R2M2R w - - 3 14	-7	0.5	0	normal	engine_search
r6r/2mnnsk1/1ppspp1p/3p2pP/4PP2/PNPPS1P1/1KS1NM2/1R5R b - - 4 14	-6	0.5	0	normal	engine_search
7r/2mnnsk1/1ppspp1p/3p2pP/r3PP2/PNPPS1P1/1KS1NM2/1R5R w - - 5 15	-5	0.5	0	normal	engine_search
7r/2mnnsk1/1ppspp1p/3p2pP/r3PP2/PNPPS1P1/1KS1NM2/R6R b - - 6 15	-4	0.5	0	normal	engine_search
7r/2mnnsk1/1p1spp1p/2pp2pP/r3PP2/PNPPS1P1/1KS1NM2/R6R w - - 0 16	-4	0.5	0	normal	engine_search
7r/2mnnsk1/1p1spp1p/2pp2pP/r3PP2/P1PPS1P1/1KSNNM2/R6R b - - 1 16	-5	0.5	0	normal	engine_search
7r/r1mnnsk1/1p1spp1p/2pp2pP/4PP2/P1PPS1P1/1KSNNM2/R6R w - - 2 17	-6	0.5	0	normal	engine_search
7r/r1mnnsk1/1p1spp1p/2pp2pP/4PP2/P1PPS1P1/1KSNNM2/R3R3 b - - 3 17	-6	0.5	0	normal	engine_search
3r4/r1mnnsk1/1p1spp1p/2pp2pP/4PP2/P1PPS1P1/1KSNNM2/R3R3 w - - 4 18	-7	0.5	0	normal	engine_search
3r4/r1mnnsk1/1p1spp1p/2pp2pP/4PP2/P1PPSNP1/1KS1NM2/R3R3 b - - 5 18	-6	0.5	0	normal	engine_search
3r4/r1mnnsk1/1p1spp1p/2p3pP/4pP2/P1PPSNP1/1KS1NM2/R3R3 w - - 0 19	-9	0.5	0	normal	engine_search
3r4/r1mnnsk1/1p1spp1p/2p3pP/4PP2/P1P1SNP1/1KS1NM2/R3R3 b - - 0 19	-9	0.5	0	normal	engine_search
3r4/r1mnnsk1/3spp1p/1pp3pP/4PP2/P1P1SNP1/1KS1NM2/R3R3 w - - 0 20	-8	0.5	0	normal	engine_search
3r4/r1mnnsk1/3spp1p/1pp3pP/4PP2/P1P1SNP1/1KS1NM2/3RR3 b - - 1 20	-10	0.5	0	normal	engine_search
3r4/r1mnnsk1/3spp1p/1pp4P/4PPp1/P1P1SNP1/1KS1NM2/3RR3 w - - 0 21	-10	0.5	0	normal	engine_search
3r4/r1mnnsk1/3spp1p/1pp4P/4PPp1/P1P1S1P1/1KSNNM2/3RR3 b - - 1 21	-7	0.5	0	normal	engine_search
3r2k1/r1mnns2/3spp1p/1pp4P/4PPp1/P1P1S1P1/1KSNNM2/3RR3 w - - 2 22	-10	0.5	0	normal	engine_search
3r2k1/r1mnns2/3spp1p/1pp4P/4PPp1/PSP1S1P1/1K1NNM2/3RR3 b - - 3 22	-12	0.5	0	normal	engine_search
1r4k1/r1mnns2/3spp1p/1pp4P/4PPp1/PSP1S1P1/1K1NNM2/3RR3 w - - 4 23	-12	0.5	0	normal	engine_search
